# Openweave fashion brand tracker. See docs/data-sources/README.md for full provenance.
# transparency_score: Fashion Transparency Index 2023, (c) Fashion Revolution CIC, used with attribution.
# sbti_near_term_target: Science Based Targets initiative, (c) SBTi. fashion_pact: The Fashion Pact. certified_b_corp: B Lab.
# ownership: public corporate record. Independent, non-commercial tool; not affiliated with any brand named.
brand_name,parent_company,segment,country_or_region,user_recognition_level,ownership_provenance,fashion_pact,certified_b_corp,sbti_near_term_target,sustainability_report_url,annual_report_url,transparency_source,transparency_score,climate_target_summary,scope_1_2_disclosed,scope_3_disclosed,materials_notes,supply_chain_notes,circularity_notes,source_quality,needs_manual_research,notes
Fjällräven,Fenix Outdoor,Outdoor,Sweden,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),40,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Foot Locker,"Foot Locker, Inc.",Footwear,United States,high,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),9,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Foschini,TFG,Department & value,South Africa,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),18,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Fossil,"Fossil Group, Inc.",Basics & mass market,United States,medium,Needs research,Needs research,Needs research,validated (brand),,,Fashion Transparency Index 2023 (Fashion Revolution),16,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Free People,URBN,Fast fashion,United States,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),13,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Fruit of the Loom,Berkshire Hathaway,Basics & mass market,United States,high,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),34,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Furla,Furla,Luxury,Italy,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),5,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
G-Star RAW,G-Star,Denim,Netherlands,medium,Needs research,Needs research,Needs research,validated (brand),,,Fashion Transparency Index 2023 (Fashion Revolution),49,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Gap,Gap Inc.,Basics & mass market,United States,high,"US group; also owns Old Navy, Banana Republic and Athleta.",signatory,Needs research,validated (brand),https://www.gapinc.com/en-us/values/sustainability,,Fashion Transparency Index 2023 (Fashion Revolution),48,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Gerry Weber,Gerry Weber,Fast fashion,Germany,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),8,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Gildan,Gildan Activewear,Basics & mass market,Canada,medium,Needs research,Needs research,Needs research,validated (brand),,,Fashion Transparency Index 2023 (Fashion Revolution),54,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
GU,Fast Retailing,Basics & mass market,Japan,medium,Needs research,Needs research,Needs research,validated (parent group),https://www.fastretailing.com/eng/sustainability/,,Fashion Transparency Index 2023 (Fashion Revolution),51,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Gucci,Kering,Luxury,Italy,high,"Italian house, part of French group Kering since 1999.",signatory,Needs research,validated (parent group),https://www.kering.com/en/sustainability/,,Fashion Transparency Index 2023 (Fashion Revolution),80,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Ranked 2nd of 250 in FTI 2023, up 21 points year on year and the first luxury house in the top tier."
Guess,"Guess?, Inc.",Denim,United States,high,Needs research,Needs research,Needs research,validated (brand),,,Fashion Transparency Index 2023 (Fashion Revolution),31,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Gymshark,Gymshark Ltd,Sportswear,United Kingdom,medium,Needs research,Needs research,Needs research,validated (brand),,,Fashion Transparency Index 2023 (Fashion Revolution),27,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
H&M,H&M Group,Fast fashion,Sweden,high,Needs research,signatory,Needs research,validated (brand),https://hmgroup.com/sustainability/,,Fashion Transparency Index 2023 (Fashion Revolution),71,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Among the top-scoring brands in FTI 2023, one of the highest for a high-volume producer."
Hanes,Hanesbrands,Basics & mass market,United States,high,Needs research,Needs research,Needs research,validated (brand),,,Fashion Transparency Index 2023 (Fashion Revolution),38,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Heilan Home,Heilan Home,Basics & mass market,China,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),0,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Helly Hansen,Canadian Tire,Outdoor,Norway,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),30,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
HEMA,HEMA,Department & value,Netherlands,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),24,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Hermès,Hermès International,Luxury,France,high,Needs research,former signatory,Needs research,validated (brand),https://finance.hermes.com/en/sustainable-development/,,Fashion Transparency Index 2023 (Fashion Revolution),28,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Hollister Co.,Abercrombie & Fitch Co.,Fast fashion,United States,high,Needs research,Needs research,Needs research,validated (parent group),,,Fashion Transparency Index 2023 (Fashion Revolution),33,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Hudson's Bay,Hudson’s Bay Company,Department & value,Canada,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),9,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Hugo Boss,Hugo Boss AG,Luxury,Germany,high,Needs research,Needs research,Needs research,validated (brand),,,Fashion Transparency Index 2023 (Fashion Revolution),55,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Intimissimi,Calzedonia Group,Basics & mass market,Italy,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),63,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Ito-Yokado,Seven & i Holdings,Department & value,Japan,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),11,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Jack & Jones,Bestseller,Fast fashion,Denmark,medium,Needs research,Needs research,Needs research,validated (parent group),,,Fashion Transparency Index 2023 (Fashion Revolution),41,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Jack Wolfskin,Topgolf Callaway,Outdoor,Germany,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),25,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
JD Sports,JD Sports Fashion plc,Sportswear,United Kingdom,medium,Needs research,Needs research,Needs research,validated (brand),https://www.jdplc.com/sustainability,,Fashion Transparency Index 2023 (Fashion Revolution),29,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Jil Sander,OTB Group,Luxury,Germany,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),18,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Jockey,Jockey International,Basics & mass market,United States,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),2,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Joe Fresh,Loblaw Companies,Fast fashion,Canada,low,Needs research,Needs research,Needs research,validated (parent group),,,Fashion Transparency Index 2023 (Fashion Revolution),18,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
John Lewis,John Lewis Partnership,Department & value,United Kingdom,high,Needs research,Needs research,Needs research,validated (brand),,,Fashion Transparency Index 2023 (Fashion Revolution),32,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Jordan,"Nike, Inc.",Sportswear,United States,high,"A Nike brand, built around Michael Jordan.",Needs research,Needs research,validated (parent group),,,Fashion Transparency Index 2023 (Fashion Revolution),50,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
K-Way,BasicNet,Outdoor,Italy,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),0,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Kate Spade,"Tapestry, Inc.",Luxury,United States,medium,Acquired by Tapestry in 2017.,signatory,Needs research,validated (parent group),https://www.tapestry.com/responsibility/,,Fashion Transparency Index 2023 (Fashion Revolution),41,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Kathmandu,KMD Brands,Outdoor,New Zealand,high,"Part of KMD Brands, which also owns Rip Curl and Oboz.",Needs research,Needs research,validated (parent group),,,Fashion Transparency Index 2023 (Fashion Revolution),29,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Kaufland,Schwarz Group,Department & value,Germany,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),12,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Kiabi,Kiabi,Fast fashion,France,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),16,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
KiK,KiK,Fast fashion,Germany,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),17,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Kmart Australia,Wesfarmers,Department & value,Australia,high,Owned by ASX-listed Wesfarmers. A separate company from US Kmart.,Needs research,Needs research,Needs research,https://www.wesfarmers.com.au/sustainability,,Fashion Transparency Index 2023 (Fashion Revolution),76,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,Tied 3rd of 250 brands in FTI 2023. A separate company from US Kmart.
Kohl's,Kohl’s,Department & value,United States,medium,Needs research,Needs research,Needs research,validated (brand),,,Fashion Transparency Index 2023 (Fashion Revolution),17,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
KOOVS,KOOVS,Online retail,India,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),0,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
La Redoute,Galeries Lafayette Group,Online retail,France,medium,Needs research,Needs research,Needs research,validated (parent group),,,Fashion Transparency Index 2023 (Fashion Revolution),13,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Lacoste,Maus Frères,Sportswear,France,high,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),38,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Lands' End,Lands’ End,Basics & mass market,United States,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),12,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
LC Waikiki,LC Waikiki,Fast fashion,Turkey,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),4,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Levi Strauss,Levi Strauss & Co.,Denim,United States,high,Needs research,Needs research,Needs research,validated (brand),https://www.levistrauss.com/sustainability/,,Fashion Transparency Index 2023 (Fashion Revolution),60,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Li-Ning,Li-Ning,Sportswear,China,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),9,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Lidl,Schwarz Group,Department & value,Germany,high,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),25,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Lindex,Stockmann Group,Fast fashion,Sweden,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),44,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
LL Bean,L.L.Bean,Outdoor,United States,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),8,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Loewe,LVMH,Luxury,Spain,medium,"Spanish house, owned by LVMH since 1996.",Needs research,Needs research,validated (parent group),https://www.lvmh.com/en/our-commitments/environment,,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,,yes,
Longchamp,Longchamp,Luxury,France,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),2,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Lorna Jane,Lorna Jane (private),Sportswear,Australia,medium,Needs research,Needs research,Needs research,Needs research,,,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,,yes,
Louis Vuitton,LVMH,Luxury,France,high,The founding house of French group LVMH.,Needs research,Needs research,validated (parent group),https://www.lvmh.com/en/our-commitments/environment,,Fashion Transparency Index 2023 (Fashion Revolution),29,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
lululemon,lululemon athletica inc.,Sportswear,Canada,high,Needs research,Needs research,Needs research,validated (brand),https://corporate.lululemon.com/our-impact,,Fashion Transparency Index 2023 (Fashion Revolution),52,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Macy's,"Macy’s, Inc.",Department & value,United States,high,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),7,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Mammut,Telemos Capital,Outdoor,Switzerland,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),35,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Mango,Punto Fa (Mango),Fast fashion,Spain,high,Needs research,Needs research,Needs research,validated (brand),,,Fashion Transparency Index 2023 (Fashion Revolution),49,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Marc Jacobs,LVMH,Luxury,United States,high,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),28,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Marks & Spencer,Marks & Spencer Group,Department & value,United Kingdom,high,Needs research,Needs research,Needs research,validated (brand),,,Fashion Transparency Index 2023 (Fashion Revolution),38,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Marni,OTB Group,Luxury,Italy,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),17,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Massimo Dutti,Inditex,Fast fashion,Spain,medium,"Part of Inditex, the group behind Zara.",Needs research,Needs research,validated (parent group),,,Fashion Transparency Index 2023 (Fashion Revolution),50,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Matalan,Matalan,Fast fashion,United Kingdom,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),29,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Max,Landmark Group,Fast fashion,United Arab Emirates,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),1,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Max Mara,Max Mara Fashion Group,Luxury,Italy,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),0,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Merrell,Wolverine World Wide,Outdoor,United States,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),8,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Metersbonwe,Metersbonwe,Fast fashion,China,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),0,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Mexx,Mexx,Fast fashion,Netherlands,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),0,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Michael Kors,Capri Holdings,Luxury,United States,high,"Part of Capri Holdings, which also owns Versace and Jimmy Choo.",signatory,Needs research,validated (parent group),,,Fashion Transparency Index 2023 (Fashion Revolution),23,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Miu Miu,Prada Group,Luxury,Italy,medium,Sister label to Prada within the Prada Group.,signatory,Needs research,validated (parent group),https://www.pradagroup.com/en/sustainability.html,,Fashion Transparency Index 2023 (Fashion Revolution),34,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Mizuno,Mizuno,Sportswear,Japan,medium,Needs research,Needs research,Needs research,validated (brand),,,Fashion Transparency Index 2023 (Fashion Revolution),18,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Moncler,Moncler Group,Luxury,Italy,medium,Italian brand; acquired Stone Island in 2021.,signatory,Needs research,validated (brand),https://www.monclergroup.com/en/sustainability,,Fashion Transparency Index 2023 (Fashion Revolution),27,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Monoprix,Groupe Casino,Department & value,France,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),18,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Morrisons,Morrisons,Department & value,United Kingdom,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),29,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
MRP,Mr Price Group,Fast fashion,South Africa,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),11,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Muji,Ryohin Keikaku,Basics & mass market,Japan,high,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),28,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
New Balance,"New Balance Athletics, Inc.",Sportswear,United States,high,Needs research,Needs research,Needs research,validated (brand),https://www.newbalance.com/responsible-leadership/,,Fashion Transparency Index 2023 (Fashion Revolution),46,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
New Look,New Look,Fast fashion,United Kingdom,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),42,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
New Yorker,New Yorker,Fast fashion,Germany,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),0,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Next,Next plc,Department & value,United Kingdom,medium,Needs research,Needs research,Needs research,validated (brand),https://www.nextplc.co.uk/corporate-responsibility,,Fashion Transparency Index 2023 (Fashion Revolution),36,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Nike,"Nike, Inc.",Sportswear,United States,high,Needs research,signatory,Needs research,validated (brand),https://about.nike.com/en/impact,,Fashion Transparency Index 2023 (Fashion Revolution),50,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Nine West,Authentic Brands Group,Footwear,United States,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),1,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Nordstrom,"Nordstrom, Inc.",Department & value,United States,high,Needs research,signatory,Needs research,validated (brand),,,Fashion Transparency Index 2023 (Fashion Revolution),26,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Old Navy,Gap Inc.,Basics & mass market,United States,high,Part of Gap Inc.,Needs research,Needs research,validated (parent group),,,Fashion Transparency Index 2023 (Fashion Revolution),48,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Otto,Otto Group,Online retail,Germany,medium,Needs research,Needs research,Needs research,validated (brand),,,Fashion Transparency Index 2023 (Fashion Revolution),20,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
OVS,OVS S.p.A.,Fast fashion,Italy,medium,Needs research,Needs research,Needs research,validated (brand),,,Fashion Transparency Index 2023 (Fashion Revolution),83,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
